"filename", "language", "Svelte", "JavaScript", "XML", "comment", "blank", "total"
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/close.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/deleteBox.svg", "XML", 0, 0, 4, 0, 0, 4
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/disk.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/distribute-horizontal.svg", "XML", 0, 0, 3, 0, 0, 3
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/distribute-vertical.svg", "XML", 0, 0, 3, 0, 0, 3
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/eye-slash.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/eye.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/gear.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/layer.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/layerDown.svg", "XML", 0, 0, 4, 0, 0, 4
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/layerUp.svg", "XML", 0, 0, 4, 0, 0, 4
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/list.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/math.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/maximise.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/menu-horizontal-dots.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/menu-vertical-dots.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/minimise.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/minus.svg", "XML", 0, 0, 3, 0, 0, 3
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/pin.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/plus.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/process.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/query.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/reset.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/resizeHandle.svg", "XML", 0, 0, 7, 0, 0, 7
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/search.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/spinner.svg", "XML", 0, 0, 3, 0, 1, 4
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/swap.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/table.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/zoom-in.svg", "XML", 0, 0, 3, 0, 0, 3
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/zoom-out.svg", "XML", 0, 0, 3, 0, 0, 3
"/Users/dcum007/Downloads/AnCiR_next/src/lib/plots/Actogram/Actogram.svelte", "Svelte", 778, 0, 0, 10, 112, 900
"/Users/dcum007/Downloads/AnCiR_next/src/lib/plots/Actogram/Annotation.svelte", "Svelte", 228, 0, 0, 0, 37, 265
"/Users/dcum007/Downloads/AnCiR_next/src/lib/plots/Actogram/LightBand.svelte", "Svelte", 186, 0, 0, 1, 24, 211
"/Users/dcum007/Downloads/AnCiR_next/src/lib/plots/Actogram/PhaseMarker.svelte", "Svelte", 356, 0, 0, 0, 38, 394
"/Users/dcum007/Downloads/AnCiR_next/src/lib/plots/Boxplot/Boxplot.svelte", "Svelte", 532, 0, 0, 3, 77, 612
